id,nama
1,Kementerian PUPERA
2,Kementerian DIKBUD
3,Kementerian Kesehatan
4,BKKBN
5,Kementerian Pertanian
6,Kementerian Kelautan dan Perikanan
7,Kementerian Perindustrian
8,Kementerian Pariwisata
9,Kementerian Perdagangan
10,Kementerian ESDM
11,"Kementrian Desa, PDT, dan Transmigrasi"
12,Kementerian LHK
